"CP","NEGATIVE","NEUTRAL","POSITIVE","SENTIMENT"
"Em F C",0,2,0,"Neutral"
"Em F Dm",1,0,0,"Negative"
"Em F G",0,1,0,"Neutral"
"Em F#",1,0,0,"Negative"
"Em F#m G",0,16,0,"Neutral"
"Em G",12,79,5,"Neutral"
"Em G Am",0,1,0,"Neutral"
"Em G Am C Em",0,2,0,"Neutral"
"Em G Bm C",3,18,9,"Neutral"
"Em G C",4,0,6,"Positive"
"Em G C G",3,13,5,"Neutral"
"Em G D",0,1,0,"Neutral"
"Em G D A",0,0,1,"Positive"
"Em G D Bm",0,1,0,"Neutral"
"Em G D C",3,6,1,"Neutral"
"Em G Em",0,6,0,"Neutral"
"F",20,88,13,"Neutral"
"F A",0,1,0,"Neutral"
"F A Dm",3,0,0,"Negative"
"F A Dm Bb",6,13,0,"Neutral"
"F A Dm C Bb",0,4,0,"Neutral"
"F Am",0,11,0,"Neutral"
"F Am Dm",1,0,0,"Negative"
"F Am Dm Em",0,0,1,"Positive"
"F Am F",0,3,0,"Neutral"
"F Bb F",0,1,0,"Neutral"
"F C",19,40,7,"Neutral"
"F C Dm Bb",0,1,0,"Neutral"
"F C F",1,4,0,"Neutral"
"F C F Bb",0,1,0,"Neutral"
"F C G",0,0,8,"Positive"
"F C G Am",4,0,0,"Negative"
"F C G Am F",2,0,0,"Negative"
"F Dm",1,14,1,"Neutral"
"F Dm Am",0,7,0,"Neutral"
"F Dm G",0,2,0,"Neutral"
"F Eb",0,1,0,"Neutral"
"F Em",0,1,2,"Positive"
"F Em Am Em",0,3,0,"Neutral"
"F Em Dm",0,3,0,"Neutral"
"F F",0,2,2,"Neutral"
"F F G",0,10,0,"Neutral"
"F G",6,23,8,"Neutral"
"F G Am",0,31,5,"Neutral"
"F G Am C",0,1,3,"Positive"
"F G Am C F",0,5,0,"Neutral"
"F G C C",0,3,6,"Positive"
"F G C E",0,3,6,"Positive"
"F G C F",0,4,4,"Neutral"
"F G E",1,1,0,"Negative"
"F G E Am",2,0,0,"Negative"
"F G E F",0,4,4,"Neutral"
"F G Em",0,6,0,"Neutral"
"F G F",0,1,0,"Neutral"
"F#",0,20,3,"Neutral"
"F# B",0,3,0,"Neutral"
"F# Bm G D",0,5,0,"Neutral"
"F# Em",0,4,1,"Neutral"
"F# G",0,0,3,"Positive"
"F#m",2,3,0,"Neutral"
"F#m Bm",0,2,0,"Neutral"
"F#m Bm A",0,0,1,"Positive"
"F#m D",0,4,0,"Neutral"
"F#m D A E",0,16,10,"Neutral"
"F#m G",3,6,0,"Neutral"
"G",79,222,67,"Neutral"
"G A",1,12,2,"Neutral"
"G Am",28,45,7,"Neutral"
"G Am C",0,2,3,"Positive"
"G Am Em C",0,0,4,"Positive"
"G Am F",2,0,0,"Negative"
"G Am F C",5,0,0,"Negative"
"G Am G",0,7,0,"Neutral"
"G Am G Am G",0,1,0,"Neutral"
"G B",2,2,0,"Negative"
"G B C",2,0,0,"Negative"
"G Bm",1,5,6,"Positive"
"G C",6,45,4,"Neutral"
"G C Am F",0,5,0,"Neutral"
"G C B Am C B D D",0,0,1,"Positive"
"G C B D D",0,0,1,"Positive"
"G C Dm Am G Am G Am",0,3,0,"Neutral"
"G C Dm Am G Am G Am G",0,1,0,"Neutral"
"G C Em",1,2,0,"Neutral"
"G C Em D",0,2,0,"Neutral"
"G C G Am C G D D",0,0,1,"Positive"
"G C G D D",0,0,1,"Positive"
"G D",26,36,22,"Neutral"
"G D A",0,1,0,"Neutral"
"G D A A A A",0,2,0,"Neutral"
"G D Am C",0,8,0,"Neutral"
"G D C",4,7,1,"Neutral"
"G D C G",6,0,0,"Negative"
"G D Em",0,4,0,"Neutral"
"G D Em C",0,14,4,"Neutral"
"G D F",0,5,0,"Neutral"
"G Em",6,30,3,"Neutral"
"G Em Am A F",0,2,0,"Neutral"
"G Em C D G",1,0,0,"Negative"
"G Em C D G Em",2,0,0,"Negative"
"G Em C G D C D G",0,0,1,"Positive"
"G Em D",0,4,0,"Neutral"
"G Em D C C",4,0,0,"Negative"
"G Em G",2,4,0,"Neutral"
"G F",2,4,11,"Positive"
"G F Am",1,0,10,"Positive"
"G F G",0,5,0,"Neutral"
"G F#",1,15,1,"Neutral"
"G F# Em",0,4,0,"Neutral"
"G F# Em C",0,2,2,"Neutral"
"G F#m Bm",0,1,0,"Neutral"
"G G",0,2,0,"Neutral"
"G#",1,1,1,"Negative"
"G#* Am F C",1,4,0,"Neutral"
"G#m",1,20,8,"Neutral"
"Gm",1,1,0,"Negative"
"Gm Bb",0,13,1,"Neutral"
